Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,screen_fill_rate_left_eye,screen_fill_rate_right_eye,screen_fill_rate,screen_red_intensity_left_eye,screen_red_intensity_right_eye,screen_red_intensity,screen_green_intensity_left_eye,screen_green_intensity_right_eye,screen_green_intensity,screen_blue_intensity_left_eye,screen_blue_intensity_right_eye,screen_blue_intensity,screen_color_intensity_left_eye,screen_color_intensity_right_eye,screen_color_intensity,screen_brightness,screen_dimming,screen_power_consumption,hands_input_extra_delay,eyes_input_extra_delay,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds,render_scale
993,2764,476,94,34,9999,0,947,0,4169,3948,4,3,1171,441,2000,0,0,1,72,0,1,7,47,0,0,0,0,0,1059,0,9,22,33,33,42,9,5,5,11,16,0,0,11623,572,0,402,68,470,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0
1993,2764,476,94,34,9999,0,847,0,4169,3531,4,3,1478,490,1353,0,0,70,72,34,0,0,0,0,0,1440,1584,983,684,0,10,22,22,28,36,9,9,10,11,14,0,0,11623,572,0,402,68,470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,100
2994,2764,476,94,34,9999,0,881,0,4212,3710,4,3,1478,490,1804,0,0,72,72,33,0,0,0,0,0,1440,1584,958,690,0,13,30,38,46,39,0,13,13,19,13,0,0,11623,572,0,402,68,470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,100
3993,2764,476,94,34,9999,0,921,0,4212,3879,4,3,1478,490,1804,0,0,72,72,32,0,0,0,0,0,1440,1584,958,690,0,13,30,38,46,39,0,13,13,19,13,0,0,11623,572,0,402,68,470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,100
4993,2764,476,94,34,9999,0,1232,0,4212,5189,4,3,1478,490,768,0,0,39,72,27,0,0,65,0,3,1440,1584,4080,757,0,81,50,50,52,57,81,63,76,30,26,0,0,11623,572,0,402,68,470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,100
5995,2764,476,94,34,9999,0,1028,0,4212,4329,4,3,1478,490,1555,0,0,67,72,37,0,23,12,0,3,1440,1584,4088,889,0,19,30,21,33,35,19,5,5,25,37,0,0,11623,572,0,402,68,470,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
6994,2764,476,94,34,9999,0,1019,0,4212,4292,4,3,1478,490,1555,0,0,72,72,32,0,0,0,0,3,1440,1584,3458,737,0,22,25,25,22,27,22,22,10,28,28,0,0,11623,572,0,402,68,470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,100
7993,2764,476,94,34,9999,0,919,0,4212,3870,4,3,1478,490,1555,0,0,72,72,30,0,0,1,0,3,1440,1584,2625,694,0,18,33,26,22,42,14,5,18,28,25,0,0,11623,572,0,402,68,470,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,100
8994,2764,476,94,34,9999,0,901,0,4212,3795,4,3,1478,490,1555,0,0,72,72,29,0,0,0,0,3,1440,1584,2623,696,0,30,27,38,26,46,18,14,30,27,25,0,0,11623,572,0,402,68,470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
9994,2764,476,94,34,9999,0,1264,0,4212,5323,4,4,1478,490,2000,0,0,63,72,30,0,0,12,0,3,1440,1584,11055,819,0,58,25,25,30,39,58,37,33,30,45,0,0,11623,572,0,402,68,470,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
